IDENTYFIKATOR ZAMÓWIENIA,MARKETPLACE,NAZWA CENTRUM HANDLOWEGO,DATA PŁATNOŚCI ZAMÓWIENIA,TYP SPRZEDAŻY,SKU SPRZEDAWCY,STAWKA VAT OD PRZEDMIOTÓW,ILOŚĆ,"KRAJ WYJŚCIA TRANSAKCJI ",KRAJ PRZYBYCIA TRANSAKCJI,CENA PRODUKTÓW (BEZ VAT),CENA DOTACJI (BEZ VAT),CENA DOTACJI DO WYSYŁKI (BEZ VAT),CENA WYSYŁKI (BEZ VAT),"Etykieta wysyłkowa do zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)","Etykieta wysyłkowa do korekty zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)",KWOTA VAT OD PRZEDMIOTÓW,KWOTA VAT DOTACJI,KWOTA PODATKU VAT DOTACJI DO WYSYŁKI,KWOTA VAT WYSYŁKI,PODATEK CAŁKOWITY,WALUTA,IDENTYFIKATOR FAKTURY,IDENTYFIKATOR FAKTURY SUBWENCYJNEJ
PO-162-03188373911672978,PL,ExclusiveKG,27 sty. 2026,sales,58718645412546,23%,1,PL,PL,"8,16","2,84","0,00","10,56","0,00","0,00","1,88","0,65","0,00","2,43","4,96",PLN,INV-PL-1220800-2026-173,INV-PL-1220800-2026-174
PO-162-08716639109752925,PL,ExclusiveKG,29 sty. 2026,return,55995636157652,23%,1,PL,PL,"-17,76","0,00","0,00","0,00","0,00","0,00","-4,09","0,00","0,00","0,00","-4,09",PLN,,
PO-162-04381945959032152,PL,ExclusiveKG,3 sty. 2026,sales,56811679933856,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-28,
PO-162-03565132590713439,PL,ExclusiveKG,11 sty. 2026,sales,68949257537231,23%,1,PL,PL,"18,52","16,48","0,00","10,56","0,00","0,00","4,27","3,79","0,00","2,43","10,49",PLN,INV-PL-1220800-2026-75,INV-PL-1220800-2026-76
PO-162-01246577010550872,PL,ExclusiveKG,15 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,,
PO-162-16092426870392240,PL,ExclusiveKG,20 sty. 2026,sales,70246337646901,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-128,
PO-162-08539104748151871,PL,ExclusiveKG,29 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-190,
PO-162-01856288945271366,PL,ExclusiveKG,7 sty. 2026,return,68846178312392,23%,1,PL,PL,"-16,65","0,00","0,00","-10,56","0,00","0,00","-3,83","0,00","0,00","-2,43","-6,26",PLN,,
PO-162-17967113651833130,PL,ExclusiveKG,10 sty. 2026,sales,58271968814384,23%,1,PL,PL,"53,28","0,00","0,00","0,00","0,00","0,00","12,26","0,00","0,00","0,00","12,26",PLN,INV-PL-1220800-2026-74,
PO-162-13157959235193125,PL,ExclusiveKG,24 sty. 2026,sales,68846178312392,23%,1,PL,PL,"16,65","0,00","0,00","10,56","0,00","0,00","3,83","0,00","0,00","2,43","6,26",PLN,INV-PL-1220800-2026-172,
PO-162-08716639109752925,PL,ExclusiveKG,29 sty. 2026,return,55995636157652,23%,0,PL,PL,"0,00","0,00","0,00","-9,74","0,00","0,00","0,00","0,00","0,00","-2,24","-2,24",PLN,,
PO-162-15577184202871217,PL,ExclusiveKG,4 sty. 2026,sales,56811679933856,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-35,
PO-162-17070495135350794,PL,ExclusiveKG,2 sty. 2026,sales,56811679933856,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,INV-PL-1220800-2026-15,
